customer_id,last_purchase_date,frequency,monetary_value,recency,R_score,F_score,M_score,RFM_Score,segment
14324,2014-02-16,4,5121.43,134,3,3,4,334,Regular
22814,2013-08-24,1,4.99,310,1,1,1,111,At Risk
11407,2013-11-23,1,53.99,219,2,1,1,211,At Risk
28387,2014-04-20,3,583.97,71,4,2,3,423,Regular
19897,2014-04-21,3,596.96,70,4,2,3,423,Regular
15675,2014-01-14,7,7206.38,167,2,4,4,244,Regular
24165,2014-01-13,3,3046.84,168,2,2,4,224,At Risk
27036,2013-08-01,2,7.28,333,1,1,1,111,At Risk
18546,2013-09-13,2,29.48,290,1,1,1,111,At Risk
11453,2013-11-19,6,8176.98,223,2,4,4,244,Regular
17195,2014-01-02,4,3330.67,179,2,3,4,234,Regular
17026,2013-08-20,10,261.39,314,1,4,2,142,Regular
22768,2013-09-19,4,600.46,284,1,3,3,133,Regular
28433,2014-05-24,1,32.6,37,4,1,1,411,Regular
27082,2012-09-22,1,782.99,646,1,1,3,113,At Risk
15844,2014-02-24,4,3134.95,126,3,3,4,334,Regular
12758,2013-10-26,3,74.98,247,2,2,2,222,At Risk
21463,2014-01-07,3,23.97,174,2,2,1,221,At Risk
18377,2014-03-08,4,2394.97,114,3,3,3,333,Regular
25562,2014-03-28,2,1239.09,94,3,1,3,313,Regular
14155,2014-03-07,3,5993.26,115,3,2,4,324,Regular
11576,2013-08-23,3,4486.41,311,1,2,4,124,At Risk
17149,2013-11-10,2,1735.98,232,2,1,3,213,At Risk
25639,2014-03-19,3,1228.83,103,3,2,3,323,Regular
12804,2014-04-25,5,5948.23,66,4,4,4,444,High Value
15798,2013-11-10,4,98.96,232,2,3,2,232,Regular
12927,2013-12-23,5,108.46,189,2,4,2,242,Regular
26913,2013-11-29,4,607.96,213,2,3,3,233,Regular
24288,2014-03-08,3,71.58,114,3,2,2,322,Regular
14447,2013-12-10,5,3385.4,202,2,4,4,244,Regular
25516,2013-08-29,1,21.49,305,1,1,1,111,At Risk
16857,2013-10-04,2,54.98,269,1,1,1,111,At Risk
14278,2014-01-24,5,177.46,157,3,4,2,342,Regular
25685,2013-12-31,1,21.49,181,2,1,1,211,At Risk
15506,2014-05-07,2,1552.48,54,4,1,3,413,Regular
13096,2014-06-10,13,230.68,20,4,4,2,442,Regular
26867,2014-05-05,3,1728.27,56,4,2,3,423,Regular
24334,2014-05-14,2,574.98,47,4,1,3,413,Regular
15629,2014-06-02,2,39.98,28,4,1,1,411,Regular
13986,2013-08-23,4,1893.91,311,1,3,3,133,Regular
25393,2012-07-26,1,2443.35,704,1,1,3,113,At Risk
25808,2014-02-19,4,77.96,131,3,3,2,332,Regular
28310,2014-04-09,1,4.99,82,4,1,1,411,Regular
16903,2014-04-14,1,4.99,77,4,1,1,411,Regular
20235,2014-05-15,2,34.98,46,4,1,1,411,Regular
30030,2014-03-31,97,60998.26,91,3,4,4,344,Regular
13050,2014-04-08,5,5651.25,83,4,4,4,444,High Value
21171,2013-10-06,2,37.29,267,1,1,1,111,At Risk
18669,2014-01-08,1,69.99,173,2,1,2,212,At Risk
28264,2014-05-13,3,5997.33,48,4,2,4,424,Regular
19605,2013-11-24,3,5314.25,218,2,2,4,224,At Risk
22937,2014-05-20,3,4179.33,41,4,2,4,424,Regular
11530,2014-06-01,26,573.8,29,4,4,3,443,High Value
11284,2013-10-02,5,55.48,271,1,4,2,142,Regular
25854,2013-11-02,2,27.28,240,2,1,1,211,At Risk
22691,2014-03-19,3,2457.33,103,3,2,3,323,Regular
15967,2013-10-15,1,4.99,258,2,1,1,211,At Risk
23873,2014-05-09,4,628.97,52,4,3,3,433,High Value
27328,2014-06-23,3,68.97,7,4,2,2,422,Regular
11238,2013-09-30,9,7542.77,273,1,4,4,144,Regular
17487,2014-01-24,2,7.28,157,3,1,1,311,Regular
22645,2014-02-15,3,553.97,135,3,2,3,323,Regular
28556,2014-03-26,2,1155.48,96,3,1,3,313,Regular
19651,2014-06-07,4,59.25,23,4,3,2,432,Regular
29784,2014-03-31,75,83292.18,91,3,4,4,344,Regular
12466,2013-08-19,2,58.98,315,1,1,2,112,At Risk
18423,2013-08-25,1,4.99,309,1,1,1,111,At Risk
21417,2014-03-23,2,1155.48,99,3,1,3,313,Regular
28848,2012-07-13,1,2181.56,717,1,1,3,113,At Risk
19943,2014-04-08,3,3112.97,83,4,2,4,424,Regular
22353,2013-12-20,2,39.98,192,2,1,1,211,At Risk
20189,2014-02-15,1,4.99,135,3,1,1,311,Regular
30076,2014-03-31,218,268236.62,91,3,4,4,344,Regular
18715,2014-05-07,4,123.96,54,4,3,2,432,Regular
21125,2014-02-01,3,27.77,149,3,2,1,321,Regular
14739,2014-02-16,4,1500.87,134,3,3,3,333,Regular
20312,2013-10-06,1,4.99,267,1,1,1,111,At Risk
23229,2014-03-10,2,28.48,112,3,1,1,311,Regular
27972,2014-04-25,3,67.93,66,4,2,2,422,Regular
21878,2014-03-03,5,4663.79,119,3,4,4,344,Regular
20833,2013-11-02,2,1903.48,240,2,1,3,213,At Risk
15214,2014-03-06,6,4490.88,116,3,4,4,344,Regular
29538,2014-03-31,45,68910.84,91,3,4,4,344,Regular
29323,2014-01-13,2,78.98,168,2,1,2,212,At Risk
19007,2014-02-04,1,69.99,146,3,1,2,312,Regular
16780,2014-02-05,2,54.98,145,3,1,1,311,Regular
13863,2014-02-08,2,71.97,142,3,1,2,312,Regular
25101,2014-06-04,2,68.49,26,4,1,2,412,Regular
26100,2014-06-17,2,7.28,13,4,1,1,411,Regular
23750,2013-07-10,2,1155.48,355,1,1,3,113,At Risk
27451,2013-12-31,3,37.43,181,2,2,1,221,At Risk
16090,2014-03-17,4,604.96,105,3,3,3,333,Regular
12389,2014-04-15,1,49.99,76,4,1,1,411,Regular
25977,2014-03-06,3,4624.83,116,3,2,4,324,Regular
11991,2014-05-21,6,8128.02,40,4,4,4,444,High Value
28141,2013-07-25,2,94.48,340,1,1,2,112,At Risk
25224,2013-09-02,2,7.28,301,1,1,1,111,At Risk
23060,2013-10-31,6,126.93,242,2,4,2,242,Regular
13740,2014-01-29,2,56.97,152,3,1,2,312,Regular
15921,2014-02-27,7,6549.29,123,3,4,4,344,Regular
17962,2014-01-19,4,2777.52,162,3,3,3,333,Regular
24411,2013-08-22,3,71.58,312,1,2,2,122,At Risk
23919,2013-12-01,3,58.47,211,2,2,2,222,At Risk
24626,2014-01-16,3,38.88,165,3,2,1,321,Regular
18085,2014-02-27,4,1764.96,123,3,3,3,333,Regular
26790,2014-03-23,3,27.77,99,3,2,1,321,Regular
14032,2014-05-20,8,6859.43,41,4,4,4,444,High Value
11868,2014-05-19,11,247.01,42,4,4,2,442,Regular
16611,2014-04-30,4,75.53,61,4,3,2,432,Regular
23352,2014-01-17,1,539.99,164,3,1,2,312,Regular
27849,2014-04-09,2,39.98,82,4,1,1,411,Regular
15137,2013-10-03,6,161.94,270,1,4,2,142,Regular
24703,2013-09-04,1,4.99,299,1,1,1,111,At Risk
26498,2013-11-18,4,89.46,224,2,3,2,232,Regular
13342,2014-04-09,3,32.22,82,4,2,1,421,Regular
12160,2013-08-08,4,5945.23,326,1,3,4,134,Regular
13571,2013-06-30,3,144.47,365,1,2,2,122,At Risk
16488,2014-06-09,8,232.42,21,4,4,2,442,Regular
28725,2013-09-26,2,78.98,277,1,1,2,112,At Risk
22476,2014-04-14,2,58.98,77,4,1,2,412,Regular
20710,2013-09-26,4,3240.32,277,1,3,4,134,Regular
12681,2014-02-18,5,6784.13,132,3,4,4,344,Regular
16382,2013-09-07,2,59.98,296,1,1,2,112,At Risk
27159,2014-01-30,4,791.32,151,3,3,3,333,Regular
24042,2014-06-07,2,12.98,23,4,1,1,411,Regular
14616,2013-12-07,3,1538.58,205,2,2,3,223,At Risk
11699,2014-01-09,5,122.25,172,2,4,2,242,Regular
24932,2013-10-29,3,71.58,244,2,2,2,222,At Risk
26269,2014-01-23,2,13.98,158,3,1,1,311,Regular
20604,2014-01-31,2,93.49,150,3,1,2,312,Regular
18254,2013-07-06,2,6021.62,359,1,1,4,114,At Risk
29615,2014-03-31,120,309837.22,91,3,4,4,344,Regular
21586,2014-03-25,1,1120.49,97,3,1,3,313,Regular
14908,2013-09-21,2,39.98,282,1,1,1,111,At Risk
29309,2013-10-21,2,2419.06,252,2,1,3,213,At Risk
17072,2014-04-27,4,123.96,64,4,3,2,432,Regular
19236,2014-05-21,2,119.98,40,4,1,2,412,Regular
29907,2014-03-31,164,114537.55,91,3,4,4,344,Regular
21294,2013-09-12,1,9.99,291,1,1,1,111,At Risk
19130,2013-10-04,5,664.95,269,1,4,3,143,Regular
12097,2014-06-21,10,238.2,9,4,4,2,442,Regular
23458,2014-01-10,4,41.95,171,2,3,1,231,Regular
27743,2014-05-11,2,1155.48,50,4,1,3,413,Regular
29017,2011-11-15,1,3578.27,958,1,1,4,114,At Risk
11115,2014-06-04,6,113.71,26,4,4,2,442,Regular
19528,2014-01-09,2,78.98,172,2,1,2,212,At Risk
17856,2014-02-14,3,32.27,136,3,2,1,321,Regular
20020,2014-03-06,2,78.98,116,3,1,2,312,Regular
21002,2013-10-28,3,2992.33,245,2,2,4,224,At Risk
18838,2014-05-19,3,2376.96,42,4,2,3,423,Regular
26561,2014-05-17,4,1336.96,44,4,3,3,433,High Value
12237,2013-11-02,5,4470.39,240,2,4,4,244,Regular
19067,2014-03-06,4,3380.91,116,3,3,4,334,Regular
27557,2013-04-04,1,782.99,452,1,1,3,113,At Risk
15154,2014-06-03,3,109.97,27,4,2,2,422,Regular
18071,2013-09-25,2,68.49,278,1,1,2,112,At Risk
16150,2014-04-13,3,629.97,78,4,2,3,423,Regular
14845,2013-07-19,2,7.28,346,1,1,1,111,At Risk
23335,2014-03-21,2,32.28,101,3,1,1,311,Regular
19376,2014-04-24,2,29.48,67,4,1,1,411,Regular
26206,2014-05-25,2,2478.34,36,4,1,3,413,Regular
12452,2013-12-31,4,5935.55,181,2,3,4,234,Regular
29432,2013-09-07,5,1307.31,296,1,4,3,143,Regular
13448,2013-11-01,1,21.98,241,2,1,1,211,At Risk
26515,2014-01-21,4,89.46,160,3,3,2,332,Regular
20418,2013-07-28,4,4207.24,337,1,3,4,134,Regular
26037,2013-07-24,2,38.98,341,1,1,1,111,At Risk
25041,2014-04-24,1,32.6,67,4,1,1,411,Regular
27726,2011-07-07,1,3578.27,1089,1,1,4,114,At Risk
18898,2013-08-08,3,74.98,326,1,2,2,122,At Risk
14985,2013-08-14,2,29.98,320,1,1,1,111,At Risk
16319,2013-08-24,2,27.28,310,1,1,1,111,At Risk
23813,2014-03-18,2,564.48,104,3,1,3,313,Regular
12406,2014-05-18,1,35.0,43,4,1,1,411,Regular
26083,2014-01-27,3,5794.05,154,3,2,4,324,Regular
22462,2013-07-11,3,553.97,354,1,2,3,123,At Risk
28954,2013-09-19,2,2393.06,284,1,1,3,113,At Risk
22124,2014-04-14,2,34.98,77,4,1,1,411,Regular
16196,2014-01-27,7,7237.36,154,3,4,4,344,Regular
27680,2013-09-07,4,35.72,296,1,3,1,131,Regular
23767,2014-06-19,2,13.98,11,4,1,1,411,Regular
17670,2013-11-05,1,539.99,237,2,1,2,212,At Risk
22293,2013-11-06,2,561.48,236,2,1,3,213,At Risk
28785,2013-11-21,1,34.99,221,2,1,1,211,At Risk
29031,2014-04-12,3,64.47,79,4,2,2,422,Regular
13465,2014-04-23,2,75.97,68,4,1,2,412,Regular
17733,2013-12-20,4,4758.24,192,2,3,4,234,Regular
12575,2014-02-27,3,2668.08,123,3,2,3,323,Regular
24563,2013-12-26,2,6.28,186,2,1,1,211,At Risk
21065,2014-05-14,5,1549.11,47,4,4,3,443,High Value
22061,2014-05-28,2,1145.48,33,4,1,3,413,Regular
13511,2014-05-18,5,6012.23,43,4,4,4,444,High Value
28204,2013-06-02,2,2419.06,393,1,1,3,113,At Risk
24872,2013-08-15,2,23.78,319,1,1,1,111,At Risk
17839,2014-05-20,3,34.97,41,4,2,1,421,Regular
29200,2013-12-24,2,6.28,188,2,1,1,211,At Risk
16843,2014-03-29,3,89.97,93,3,2,2,322,Regular
23936,2013-11-01,4,123.96,241,2,3,2,232,Regular
21019,2014-04-02,4,629.96,89,3,3,3,333,Regular
14676,2014-04-15,5,5188.41,76,4,4,4,444,High Value
19545,2013-08-09,3,1179.47,325,1,2,3,123,At Risk
16213,2014-03-14,6,154.54,108,3,4,2,342,Regular
20541,2013-12-07,2,1174.48,205,2,1,3,213,At Risk
14922,2014-04-26,1,4.99,65,4,1,1,411,Regular
21815,2013-09-05,3,64.47,298,1,2,2,122,At Risk
24809,2013-09-09,2,2419.06,294,1,1,3,113,At Risk
20481,2013-12-27,2,1170.48,185,2,1,3,213,At Risk
15323,2014-04-22,3,804.47,69,4,2,3,423,Regular
18317,2014-06-21,5,84.74,9,4,4,2,442,Regular
